"","gI_1","gI_2","gI_3","gI_4","gI_5","gI_6","gI_7","gI_8","gI_9","gI_10","gI_11","gI_12","gI_13","gI_14","gI_15","gI_16","gI_17","gI_18","gI_19","gI_20","gI_21","gI_22","gI_23","gI_24","gI_25","gI_26","gI_27","gI_28","gI_29","gI_30"
"gene 11",3.47298519833435,4.21626894485075,3.44942561334823,3.69590643730359,5.75562383657097,4.82991192152113,4.72586702172963,1.51009133607767,6.0062636809765,2.67441532376247,2.78491451457873,7.75983860266702,3.09404817376586,8.57623321241263,6.12100133575641,5.41244867541028,6.59917304554913,6.36831234095496,5.87752670787206,7.68243985636514,4.15402059998666,3.53710501753843,4.52532780337558,5.26105808477944,3.49798487381174,5.62030849207548,3.7445585182239,6.1140454447974,4.58751325658471,7.85518023866268
"gene 12",5.36595062576429,4.75001584583647,5.13515971454401,4.86716880249804,6.7157762835998,5.23230872720104,6.09622016982624,3.77003017772475,3.9906583292133,5.90792770022978,5.38167868968667,4.7910917722704,5.74893888949433,6.57180890431758,5.42443960764502,4.71675312970713,4.66508902630812,4.866656518516,4.80592263653125,5.66245619484126,5.15723202992093,4.12175405090069,2.83441918427018,4.26214534931064,6.32656014140829,4.83281457497978,4.64509593860447,6.90985811321962,3.85810632507354,5.72758366440011
"gene 13",4.87277448034084,3.8921493829081,4.57397897593315,6.3995724664359,6.16593295703256,4.92984386423151,5.81486938299243,4.8107910681974,4.38035577989384,5.53756954665906,5.35195548844746,6.39043328682977,5.2182038941051,5.76584964778473,5.91130348032481,4.37103628472698,7.63565775870972,5.01096014557029,7.85131935991514,5.19071041745699,6.24401955567182,5.38057267199219,7.72821600709851,5.5358642714439,5.19691231664887,6.11228015635874,5.43103162941239,6.54839025659375,4.49791625595977,6.60791358379619
"gene 14",4.56724163314983,2.96698327811903,3.04108363134381,5.08198118336323,6.20507495418858,3.37809332430205,6.04956889908877,5.37364739927094,3.56340345881898,4.9401083076909,2.55006846466896,6.62529153203108,4.16273364766214,5.62339795091063,6.16633740504624,4.44900332530926,4.54552400620226,4.66385035594664,4.09277968490898,6.59360809798481,2.89456133663182,3.99382473119144,5.52377487896061,6.15161707163883,4.04550428627358,3.81674618259655,0.94927577591413,3.92478228661591,1.43298240751487,5.86103876600208
"gene 15",3.55847595524219,6.62764851400074,4.14035615099084,3.72441058343299,5.09600305580782,5.37385964583469,6.96341564826683,4.12493435024089,4.73660477372725,4.67251479043455,5.36616611247777,6.8656676072648,5.84712167011776,5.89261295376136,5.08200995354721,4.37553642843246,7.99182040728463,5.22134898991109,6.95016263043843,7.45469882971975,4.10713783291184,5.2432149612983,5.34839031991414,5.97881419109741,4.64090848992621,5.29411332640625,5.83937737821695,5.43098452110626,4.6878832690373,7.07126306877414
"gene 16",4.56316338936065,2.01978579373041,1.6036279024385,2.98505564823207,3.24496250425627,3.44164170692327,3.32251548752826,3.92459425036846,5.03499129140573,4.1270130817969,4.75602996618515,7.78787812193484,3.82152708600466,5.19916433120945,5.07727525347513,5.16347506909357,2.79737699754223,4.3039063815768,4.69893311153789,4.09160226295,6.28572001357391,3.65917388768146,4.57365095791459,3.10114232839248,5.49988945213549,4.90265303514073,2.44562891784021,3.4051676536163,2.23053017979579,6.34100500309179
"gene 17",2.45128669962824,5.52633059875112,5.45675591177961,4.65802738323132,5.84934978703611,3.90474058162544,5.28523002317128,6.10874619977742,3.1258981198609,5.192838015307,5.08033060171785,4.86042808328174,3.48346837935058,5.92238962087849,3.64159673576355,4.88210475587309,6.94651483401986,4.58373716431886,7.55758126601156,6.12046366889851,5.38095879974225,2.60746937657834,5.38139746039716,7.44329766255317,4.31295900566082,5.01145706953529,3.27278395784252,6.7958928496908,5.39052162376996,5.91573894591826
"gene 18",4.37922850759499,6.18655347808991,4.73848894322782,4.825007900933,7.50766918578676,4.5154247100523,4.99771756754321,5.1135677846521,3.80517876150001,5.0344779936574,3.97033870636555,5.84342236399102,4.82499131011563,6.73724585319596,5.46799958870851,5.72234743354146,5.63387138068769,4.78638198441287,6.10885684627853,7.3384357172988,5.11982821017063,5.60356275541197,6.34499312051354,5.94263850833283,5.92523854536226,6.17878500457872,4.83837328304845,5.19832486220217,4.2562576904491,6.48615919692717
"gene 19",4.62448220180195,2.60493605639213,4.32318652819246,4.70560123191232,3.33302492332865,3.08168458021547,6.239857295256,6.57517656615921,6.03765710259347,3.94955085867737,2.99993146659723,6.06362532159099,5.53260125168751,4.34287282928461,5.66621545868998,3.51121709095968,6.86854058799741,3.92704367955549,3.89798532308107,8.7106704578038,3.25690281628772,4.28796735976846,5.54211243606008,5.55487265010319,4.83545961469498,5.85375684805611,3.14284721497076,5.50036642199777,2.46360723851762,8.55657794521274
"gene 20",4.04016032399771,5.58930695714103,3.64985566430568,3.36536415525881,4.33323946671822,6.41318940851907,5.41113499112436,3.91238423701405,4.47191078027612,3.7045294626957,4.02829290869146,6.96887839352866,5.03255966431982,4.84129141837237,5.44178430816927,5.50657698072097,7.02766573568376,5.58323438156817,6.13005385040733,5.78468457931477,4.53587919720371,3.17156222293061,4.69802289199579,5.69079857298583,3.04618642531088,4.57446322902272,3.63219091623665,6.38376408291612,4.229996336604,4.62174047931759
"gene 21",3.69366206569487,2.23805439875799,2.47691929616909,2.49538376764721,2.81122520249953,1.99831437081414,7.4867844267129,3.50761495137487,3.73701646889234,2.98659834620923,2.00119154957561,5.366219508386,6.3652962206927,6.63675354991689,4.24970220103255,2.22816336599903,5.64096638277663,6.007817954448,3.85951438331477,6.4388092904358,3.28238204058866,1.89775465460147,2.2830655189474,4.59734264048573,3.44706968356274,4.83497962608506,2.08984947000972,4.55592245994774,3.07200262901741,5.74809768964467
"gene 22",3.03077728049052,2.30725524736716,3.25355076746804,4.55105739207033,2.54066801031441,3.64477113659025,6.24941017977656,3.17961771684078,3.87965010371622,1.72133329490576,2.56662863232135,4.1168761966362,5.04845079957387,5.00820148979412,3.23646160912349,2.70829073903917,2.37828408667725,4.11653671850338,4.24523765002671,5.51042997471495,4.27836122705678,3.90399778167601,1.75586160289632,1.94563614405936,4.61636133767283,4.91781644564771,4.08492981627168,6.41758875401959,2.65375222194955,6.06827398743938
"gene 23",3.75464867079735,3.96485579893085,6.36472616041826,3.27020105601332,3.88431616530796,4.4140971730699,5.07410810222443,4.83793759258263,1.37684429279537,3.42133827645468,4.55493274908954,6.08859954862262,4.91350629922847,6.54164948302535,5.11829370057678,6.45257015132488,3.63657017662249,4.57277656562534,3.19096020627974,3.74971412352386,4.63805762019354,3.49857576543901,4.53154358507398,5.56262882993322,7.14637802196766,6.28187627443055,6.18395202751862,5.08746452935783,4.01850340719157,4.7231463194454
"gene 24",4.48817542974357,5.69617188976903,3.31866937868889,6.69121861385995,6.58683773378148,3.34154170542862,8.5904027044102,4.07380199083163,4.48881501282235,6.07500509258609,3.51692850492277,8.80313456115438,4.01227782399304,6.74452834947867,6.08699905623342,7.12972787190406,8.98115862735617,5.10652912636653,4.97870116801939,7.43175741317457,3.71386236646338,4.05195608133405,5.47797789570355,5.44300134851314,3.76183665845843,7.51291896161024,4.17325049993696,6.31517777713703,4.01371608368495,7.58798413299629
"gene 25",4.38890392723332,3.99039003522498,2.77392169445852,5.88577101029715,3.81478182031579,4.04595403404429,3.52371142568852,3.02162645131125,2.22489897671679,4.01857879816423,3.65315836152533,5.92856284618225,5.77333358980441,2.52276139899656,2.86531644105821,3.21163435971988,4.42804837090921,4.74670124618381,3.35594808773502,5.95265739848554,4.98148637326881,5.82204669484577,4.50166768076434,5.33016405434701,1.81523749134358,3.94999136602275,4.61015049455929,5.90235589738961,6.09755732008766,3.40792977492513
"gene 26",4.27650038750269,3.75081072975878,6.06807925909912,4.74115478552418,4.83559378449703,2.72739823410366,4.41482736997365,2.48911337358951,5.40610109028266,3.98656010140575,4.52866598724274,4.18028892147416,3.09713577194327,3.06956056691872,4.0716068257025,5.46174349579336,5.5937767116549,3.64269893081228,3.89160237744376,4.08369045879433,5.84818928043047,4.47518760092819,3.56183465680576,5.38628861257142,4.07124267681629,3.71065849623333,3.9768247429705,6.15454641995367,4.75921313396268,5.15386542298553
"gene 27",2.96803928047657,2.13806133524646,3.68684756431765,2.80178471997649,2.76598676420274,4.47325775077324,3.57656094510367,5.12824340774094,3.26394169042385,3.51472553720319,3.13300812839651,3.43618998736425,3.1216060340374,4.25456236445103,5.03432281597038,2.78912542420904,3.63238697013967,3.68594969678516,4.86481573427547,3.47672677589184,5.34164887612035,3.73379358793063,4.1261796893632,3.41701613564711,2.10240559648866,5.47302554523491,3.64262974508045,5.10004412416765,5.04117297020882,6.74376683128081
"gene 28",4.12237846553738,5.42869918990695,4.03470341523961,4.03303056857102,5.87812821208231,3.2383812501843,5.66543138902106,4.31720865371368,4.86369551026215,4.43675326300529,3.75570021776385,6.80254115819389,4.11787632323614,5.76626778067049,4.97649838728671,4.45598454018647,5.62269329448742,3.72677497706502,3.51848374741647,5.32703697440752,2.73041670753761,4.06218530354155,5.14258701468431,4.24684252998246,4.03988198749531,6.254885245148,3.02323100622109,5.84045958796322,3.03508273031881,7.91269867733289
"gene 29",5.47037103388703,4.86349668513108,6.33410645246171,4.86247111331868,3.25403256578408,6.79584487459689,4.43741003144599,3.61926101283729,4.1125489956137,4.46590655838214,2.98065839048657,6.18766794187543,3.2559916572271,5.41767474595324,5.36136362713206,6.31101408874039,6.42586128974275,5.70366081594904,5.8611078491402,5.45810342741978,6.58004740919925,5.13122780072999,5.64411426639632,5.89619093624721,4.33209430449364,4.0787873368334,5.58724510341174,4.65023567836811,5.38955583166876,4.58948547488773
"gene 30",4.01354846441305,5.31863572009633,3.33525848088577,4.90440298201404,3.63002709775868,4.53217705108951,5.01979322746069,5.07112904730839,2.91553942892868,4.19058300402577,5.79688226368256,3.74007341577709,4.27557148075098,5.78454988387839,4.32318690257324,2.77106625872205,4.82742033096838,6.05850406603061,5.27008644329273,6.22791928801984,3.86249799569793,4.44330257495913,2.65506820993872,4.0375190427129,3.79910352826589,4.78069312931366,4.07523438410547,3.36732297646017,3.33056556501517,5.96309531433806
"gene 31",4.93973751750859,2.58666800016566,4.58922562735103,1.88518379230672,3.32992333627995,3.42956989324705,7.36655233720633,3.49492525110775,4.33028894166331,4.9217878297492,3.48074549777761,4.98136298439254,7.38273249999773,6.02055585607859,7.38467799851036,4.44169100950431,5.24993269157172,7.17673638079529,3.44295352550324,6.20132553606146,6.85676163647785,3.6007896425351,4.09860050830376,4.0734142280867,2.06444764596436,6.31880965581832,4.3067411460975,7.10905951348163,4.4903069562888,6.67433703236764
"gene 32",7.76494595286262,6.10008741781388,2.53686298148907,5.98851665964676,5.15686513375276,8.08765550765218,5.67788113681271,4.68697963416336,5.14287136671746,4.37570897789053,4.14916242957016,6.4835188953903,4.54907077206677,6.69765363927025,4.46547285982331,5.25080536570661,5.18109151267188,5.77001092922615,6.48541251022565,6.28382041271437,7.28693669559213,6.32709399409693,5.3186701279732,4.80175644964213,5.7851154428431,4.53265267974475,6.2483645757386,6.30689312380055,3.6823212199656,5.47162749254483
"gene 33",2.46693646261413,4.89948957384098,3.84861576724678,1.77410645159244,2.89845002551275,2.81935589502045,6.79804397296751,3.41545801589642,3.20876419088279,3.04785640200364,2.57569579295579,6.73448865180259,4.44608796631173,6.51413996292987,6.54512418130635,4.66285427807511,7.25978120620094,6.04371203452324,3.27718881205195,5.28480477737983,3.48013476356215,3.52773068313755,5.02751609099229,4.54522361325713,2.84050890515902,7.55835473035786,3.53828076239259,6.13233176085283,1.47326759909936,6.95980806699139
"gene 34",4.54236949988456,7.04482393256538,4.75048617387525,6.17783232892707,3.75680161866408,3.71711365037657,7.12922602684514,3.29898450053815,5.70649354604065,6.06841674595567,3.21208336430562,6.24093522655904,7.21573382269256,5.89578683844611,6.57531941582945,5.0195494641003,4.71356680401034,6.04924324498431,5.99778705547532,4.8241983417842,6.95946768063829,4.93332184581414,5.70953915518874,6.68070237627572,4.35790521445555,7.37598508101487,5.28630669552354,4.92969303934694,5.22829929334549,5.30772430003926
"gene 35",3.16675905927374,2.8565861811044,4.7671265318739,4.32642740464232,3.76802007340375,4.22226995663699,6.39249761140666,3.24959322238176,3.64736294248916,4.03917564528546,4.20016389465967,6.04723244895515,5.4863923580903,7.15830668579624,5.78602534225205,5.14355622687406,4.9795172868123,5.24390621688128,4.97419353559749,6.08917020100689,3.78640049534112,3.50931170012721,6.01247343309337,4.54153546341522,3.647740157334,4.26562192102624,4.5527199925081,7.63869258951325,5.01276323371125,6.31332188437328
"gene 36",4.80275005072315,4.61429661544195,3.35908246423293,1.72452547170586,3.27770236501492,3.96073055047089,5.08331424869515,3.92915897813308,2.93403903136162,4.08933509767652,4.05953033882267,5.45500102791895,3.249815243596,5.53166920398839,3.45267699817983,3.82860793963334,5.58661166501484,5.07962957749121,4.08509907240142,5.22436592693459,2.25018983909793,4.93091151264222,4.58488197282688,4.01687720069156,6.03108859453155,3.05195531088738,4.42667324938611,3.02432231219404,3.01120272485402,5.76767316325507
"gene 37",4.00370930796981,4.39419417380785,4.05950834640209,3.68448511329156,5.07397100387034,4.83782397975496,4.49459755192521,2.43383950471694,2.73345246825892,3.10186092659096,4.92213162034991,5.83675613614433,2.68195273338368,4.66897545949364,4.37880121497615,5.3853883065204,7.28415324442119,5.46831410722965,4.63288342981399,6.62312091402165,2.75604974169124,4.10145726371333,5.15766446142324,6.30008137248087,4.69264937469847,4.46402543184602,3.64077356864537,5.80752630189772,2.98189637994322,3.72957617719888
"gene 38",4.52805641654514,4.73514544140408,6.52147811601866,5.3124135236036,6.23914349279757,5.07255438319397,5.26711873872388,4.8726055451115,7.22962234062875,6.48054867578893,4.57772509979495,5.00153680890088,6.91910959097155,6.57828624439581,5.98117544558055,5.65142040307084,6.77410682868895,7.28045702288452,6.91212092925085,6.26233645305323,5.36445372158361,5.77975635511621,6.88304828491714,5.49232505687167,6.8677166761494,5.36409862852395,4.53368774854512,4.61148727858797,5.6476307962526,5.75573944277092
"gene 39",3.61281226533359,2.88570130976155,4.6742685539426,4.14874014524621,5.94319910003353,4.30303468707876,4.05379834730799,2.90318652543275,3.60881248661133,2.47964557538659,4.69296332530928,5.47047144037603,4.39377218879313,4.46479452992182,4.37303176554325,4.37425596156499,3.89224853344854,4.90357700357524,2.33605213321674,4.66554220817527,4.95955208642133,3.56720861435659,3.51089716406892,3.05935035086469,4.68729929416123,4.66002648720347,4.30251662165177,3.72217567543105,3.73074180107063,5.24551626887871
"gene 40",5.07611356256669,3.34190490868326,3.66339452989955,5.46496896122785,4.21747700508188,2.80996174820934,5.06123422039321,3.80095844137895,3.30740670361025,1.55040562252808,3.49879519177959,6.28345463573224,5.57354232341178,9.49829443905914,5.26212161802207,1.56000143986002,4.92980951656586,4.83356783023021,2.59540462503211,6.52301888233707,4.88699735404823,3.15706270786518,3.71802018449792,4.78164800814434,3.33136299452846,6.33105767409822,6.04287241276333,6.18743065828405,3.92388170021122,6.165783435582
"gene 41",4.2137069164429,4.25649793533548,4.9804551760352,3.79663498235709,3.55399951861294,4.94422683113418,5.17974103914381,4.55150472455848,5.0315004264461,3.96320490040538,4.73935777315378,4.8704295275127,4.45719301809394,4.4772168007351,5.71763080956345,4.7043367695482,7.15690904060164,2.11763599286461,5.45093537835539,5.57059769007737,4.2049245409424,4.59694588471071,6.35897031242297,3.2118288208718,2.62235871667927,5.70380353497252,3.88946292358534,7.22623169786766,5.48187826340954,7.28951188837252
"gene 42",7.29273074130686,3.2612057956989,2.44750247860297,2.34278929543721,4.87425147765848,5.47225495941072,6.08131721125097,3.6844808228053,3.56256808595661,3.79188796208121,4.94825467952213,4.94274663265372,5.0577986889847,3.39960274337208,6.73125909093523,5.07863594929042,5.51856548896109,7.07158684364028,5.40349140095093,6.42965820363569,4.11142364287206,4.00439737464608,2.67347771182086,4.91165202068581,2.10043787397159,4.68403688239256,4.83296017702353,4.01012427087997,5.78575348866408,6.68060949379897
"gene 43",5.6434111027159,6.99088226470064,5.07617302885058,4.48047591869025,6.12293057173334,4.31717111905609,4.67018263973634,5.78815212249858,7.70208664518769,4.96061104353481,5.39130701317539,5.6736460773093,4.66475995787941,3.8537113276942,6.91273236780864,5.91922347099566,5.75381088939722,3.00341112088082,6.34936191107875,5.48535437731355,4.5943340075682,7.31745566932707,4.65477914930706,4.43295430593779,6.01103003322323,5.49073648027115,7.92690917165278,5.76300480586292,5.02319062995724,6.50133587987958
"gene 44",5.89473424982333,5.99688287507812,3.89050052181913,2.57592542026062,4.97192283255281,4.89250599042168,5.13511495061802,4.77154385590048,6.12679894264878,3.36426457501822,5.02523988494067,8.07950717692887,5.2395688192464,6.77734022021524,5.09154220384238,5.24896563935321,4.43671433559136,5.09187011046948,5.11274219038292,4.96317745653806,5.20141040449172,3.86293232208253,4.40537201669175,5.52502747057314,4.48781996889648,6.10770332202279,6.4656429803109,5.55185916403716,4.57290795457367,6.56270706509542
"gene 45",5.45236378113774,4.35386121700571,2.72224861253788,3.59759432060051,5.58630519747025,4.30338144222315,6.68120318483611,3.29562090244377,4.51566196223938,4.77152082983588,5.73903676804675,6.47429378044362,6.82894137531349,6.87803766943186,4.09637831586053,5.60328230623763,6.2081620285406,6.76808097833774,5.85716017508022,5.70465411497235,4.09565237980108,3.45814510886342,4.1033313042888,4.28095256023856,3.30720205099477,6.80375998304471,5.52796427008009,6.40069513892909,5.33630164990256,6.34430962701459
"gene 46",5.46678104733406,5.45778688236344,6.50635505663053,4.74537191488977,4.96888121374509,4.66267417702487,6.76397895577813,4.71779752804279,4.19380951312577,4.00035658413546,4.69343406084114,6.53229466218463,3.75491942842954,6.21299226100974,6.63554841061986,4.3377320079993,5.20986001854938,6.21654102935279,4.49112984658252,6.65886536729947,5.1004785197533,4.54547134908373,6.9378324337975,5.42651259507199,3.97988221947012,6.3318345757193,5.73937311619202,6.43328007673506,3.11631176038313,5.88914269287934
"gene 47",4.71794591635063,3.04432314922946,4.32167630841444,4.7013718121306,5.0906688689636,4.02639761663106,5.34635971957975,3.54842101038822,5.43404360127869,2.41368792915443,3.77355002498693,6.45041746675385,4.19091522873416,6.2484777308382,3.87953858329223,4.83728494013429,6.20402991789171,4.68228805627551,7.07539885199129,5.17978803428738,4.89294259902014,4.24084582033121,3.74911343449137,4.29900245736703,4.42117472894708,4.83785750460826,4.95933743376596,5.3251704316214,2.24861578494399,6.52624819224353
"gene 48",4.75635218301639,4.74359562061276,6.35871273577272,5.53314710473648,6.08207176448322,6.83908391210802,7.48625977559652,4.61951650081329,3.87129974122749,5.35600656535587,4.54499475154824,5.8149081633519,5.74751429868839,7.34003398202284,5.99191768429495,5.62516645227892,6.69631052401067,6.77606682231286,5.95190504653713,6.49105918004734,3.70765936297242,6.09958581340937,6.2379531009022,6.14720441432094,5.0739655482196,6.87137128446095,4.16152829945678,5.60327739083267,6.96858706509019,7.05164146438305
"gene 49",2.65786517745445,4.53448088416133,4.61352005274511,4.66956823010352,5.46067996600877,3.90417470180711,3.98254916019048,5.02796952185267,5.51097804472433,5.01379492949487,4.00847187855883,2.78303602898685,4.68108756527258,4.68298311816443,4.83848183290421,5.30161721778576,4.06761616835118,6.01326994360911,4.08819479107197,5.64538816951161,3.7175898153724,5.08706013044096,4.38393280038876,3.94959462795222,4.97958505987491,4.78825972432822,3.48941056152961,1.9509440101634,6.98197740078898,3.85301873821553
"gene 50",5.65397127007983,5.48112160659305,4.22959102311339,5.06888148044152,6.49096876037658,4.69854900915112,5.48509703534353,7.03649448026013,4.86075261744466,6.87674362900646,4.90904028714515,5.50300853494944,7.00529778462273,6.09138100631206,5.8252021275359,4.77695883087436,5.53038530426688,4.98509573821972,6.00459228568405,5.53232155567855,5.37398558116746,4.25432148870459,5.06994193466503,6.25271327271971,5.31958474268747,6.77575841260706,3.44088740207223,5.05959521355009,4.19379818762396,6.92193873160422
"gene 51",4.36062992336594,4.59914530939011,5.88869622636395,4.21368596616501,3.88776484187771,6.99561760613351,7.70366043069085,5.43022341567393,6.17471638217066,4.34975688684917,5.6940650334076,6.0619935939987,7.07859668630427,6.65505057244832,7.1810795153278,3.05474103899205,5.47267719749282,7.4495234461807,3.70405056505611,6.69351117651112,6.66119837376625,4.87531486789322,7.56091545240794,5.65486025510235,3.99498664020781,8.57457504159876,6.3482926376092,7.02848350955039,6.6001460759692,7.62126190170351
"gene 52",5.31972822702446,5.13098518626267,5.785317114454,4.7526350069259,5.36530673176174,5.85378442123882,6.89130185888574,4.56029737135584,4.47479128375847,4.75352439036663,5.23087540995384,8.9830606571396,5.74772214768802,4.71107866464786,5.23633500235422,3.8818067916893,5.32772919319423,6.85173846325756,5.80169518467341,8.39459576118417,5.87464040700004,4.25561284344704,5.28602173034461,5.52921448411459,3.57251565350487,7.67644173685023,4.84205923329993,6.52128307488466,5.76615043387941,7.88660071017172
"gene 53",3.0920926970318,4.16083396438603,6.04844394109047,4.13760851735559,4.10993117664078,4.73122408526643,4.34901581104753,5.30462916368364,2.26549587955966,3.55368275537373,4.49242903563502,6.37286038793089,2.48973164627975,4.05039262396885,5.21477499246129,4.70337631758886,3.39597476910156,3.84084370941754,4.24630004694197,4.80347208487236,4.10224400295586,3.69184443615301,4.26049532645236,5.60703329013609,3.68472006892201,5.2405006178485,4.79439609527912,4.60348948906929,5.13940736634021,4.34483344125306
"gene 54",4.4510933274968,4.5520879762965,3.26072187610482,1.87814813979863,3.93021573666673,4.18914668392772,4.51221975026182,4.33525238441919,5.01605700927015,4.98943314962565,2.61469065448377,4.61504705365572,4.75708381381602,3.04843752382486,4.43390114350841,5.65612444697568,4.71801665969935,5.70199162224366,5.65748232959838,5.4428045350431,4.97406931940954,6.40287258571271,4.22531912267983,4.41635066917282,5.18822900649591,2.65077957045833,5.48516301923054,4.07505794658861,2.77470357316248,5.34727946313308
"gene 55",3.9950816079538,5.43808786764701,4.19425106980158,1.85646710855348,3.75995021807243,3.61366342275929,4.44322564848622,0.948547716255729,3.89297969911554,2.89820549766123,4.11821630821859,5.10943648068312,4.39371354033303,4.31994564493873,4.07989597731804,4.19607271376443,4.91450048488381,5.94281491956579,4.9110718960574,5.21170197794143,5.45849160470284,2.92865073669241,4.430763010889,4.8624207409513,4.83359019630168,5.47726220155264,2.77298052906277,5.59179583473876,4.56780773570299,4.55251062231166
