"","gII_1","gII_2","gII_3","gII_4","gII_5","gII_6","gII_7","gII_8","gII_9","gII_10","gII_11","gII_12","gII_13","gII_14","gII_15","gII_16","gII_17","gII_18","gII_19","gII_20","gII_21","gII_22","gII_23","gII_24","gII_25","gII_26","gII_27","gII_28","gII_29","gII_30"
"gene 11",4.86801955292402,4.80420938573275,5.36177428845727,7.35945508539062,5.41566785556106,5.14715847583795,6.04105685228641,3.35225185987536,3.08783386110386,5.08639595232647,5.35285032976479,3.76383525018311,6.45620792213399,6.79535412300995,4.60735213026149,3.67767548159673,5.8192781111115,4.88055607907797,5.70832910923803,6.51810029125429,5.72372266497212,6.06267650460383,3.97255779866423,5.30907263599759,5.438098450952,5.09779885735045,6.02580758000162,3.37395623543643,4.41987275485446,4.81364322526079
"gene 12",5.32378975820654,3.11282771628459,1.81511568168682,3.29754506639824,6.72967075242513,7.1714282688075,7.77159736391474,3.95726960909196,1.92411754471936,3.04247344340848,3.81389856246858,3.70661124227789,7.21204860800194,1.45929295735233,3.86942533878405,1.56888893199315,5.31683386756014,1.60949698095015,6.54885137998643,7.52858947658745,2.14094465481962,2.27793331285353,6.79577381585341,4.38688234292178,5.75879069294589,4.27751149425683,2.38150511009718,2.79558782590626,5.03622563632016,2.82181052912656
"gene 13",4.32227873939453,3.37972483346596,4.81875470498102,3.27375673617879,4.44234980266028,5.24825748930008,4.0935110958202,4.52057375547629,3.5710219008756,2.76875623752729,4.55837076295521,3.93279938144047,5.56461088834389,4.20548176772332,2.67088344758607,2.39690262213308,5.44773141623341,3.33655824188247,5.14858866824077,4.26274055524017,4.55789097430534,3.17675381320609,3.48916809651631,4.94997242139789,3.9751191452785,4.80158177413016,4.80466853751501,5.01562202161187,6.25201760078011,4.09586005952584
"gene 14",2.57154305996583,3.47487829518801,5.17571457799977,3.29372361489484,4.03938824655002,2.66199035906701,3.68358920634852,5.83921860232959,2.84158113683592,3.33873823552269,3.41681695098895,3.8099735599092,5.26357216433843,5.9761920845074,2.70927944623419,4.62142678042902,3.57040809077284,3.91103983449187,4.98345459084474,3.21511835146071,4.84441538332971,3.54996504500593,3.71960390678173,4.45037643341762,3.73223419731682,2.6612464615941,2.81383969372696,3.39113254389056,4.67460184584284,2.99084639204756
"gene 15",5.96513994641367,6.12796733016776,4.13882700696073,6.09822623300575,5.50768285867671,5.7446913973154,7.47981369990616,4.39469613014013,6.23232706391019,5.50384377356293,6.48394233489512,6.09841241302309,6.99320047044444,5.83357942389736,5.79093148717732,7.51743106605467,5.81994156979165,5.53680461935896,6.24694307135998,6.48122599140618,3.22381604982826,3.6746681908633,4.91569194274434,5.3604276143782,5.71692902161884,5.98763327625113,6.02067516995554,4.43013655857782,5.70679642682745,5.47313677731447
"gene 16",5.87202118750438,5.04126640257732,4.67760114992598,4.65042934010774,5.87871081196874,6.1276972622545,6.20430849940112,4.91268800886287,3.90821716284349,6.49388605040302,6.75110523837903,4.84650827949824,7.33379403708914,2.12824230732264,5.18075137518352,5.48135825479736,7.37580701443422,6.28595922126476,6.63387123973698,6.57405474416333,3.98637686795207,4.73645940146437,4.88631585803068,5.71307708926159,4.75053136563112,4.07269640055324,5.95664309779503,5.76687352307627,4.63197664678046,4.94631089638421
"gene 17",5.98155794682548,4.95381394736846,3.51169923518923,4.59868793255572,5.9366941922448,6.70702928590655,7.55643272793289,6.43548687389098,2.87682543709176,6.65336736621009,5.13655475156098,4.55751491826654,6.95606890600525,3.45999343609937,6.99165098647421,4.99791751022137,6.16023813618386,4.80454097335881,7.54103658026814,6.78960312509236,3.92988727881935,4.51043567523799,6.68220789853062,5.65766140038934,6.31610902804988,6.35964397939902,4.97541001395008,4.10502495682838,6.00132467314346,5.68433208766124
"gene 18",5.63375640739435,3.81943761560838,3.07461427697227,5.6873697369503,5.81765714317631,7.41510686851793,7.05636651865041,4.93629962964727,3.78939582171021,3.90092379784116,3.77077119435199,4.9889780505061,6.36713371581211,2.77511848711528,4.91963423075035,4.15898407632002,5.88929132766909,3.57652073123701,7.37733586354681,7.23264199315577,1.22234617603057,3.81671382954976,6.04496986616432,4.54200360249808,4.62397705194538,5.27534708284979,4.41588171999626,4.87832706345946,6.50609811602987,2.70592965721589
"gene 19",5.3308993053213,4.22266576805529,4.70616879615138,5.47562944061589,4.55424063814342,5.37051371772502,4.90065082565287,2.69753094862931,3.28063576799901,5.60963007544213,5.51253640540628,5.47042405632624,4.23613148293556,3.24775109523207,5.58988384074202,3.71921251868332,5.60671371777002,4.43578912601127,4.96869697508453,6.3607428087367,3.60619166804967,2.40042075460253,5.2691931901362,6.0356281984568,2.80281281218631,4.45796921646319,2.8022187429264,6.20334581259889,5.16309363102091,5.2678475443866
"gene 20",5.43320619133895,3.46392299770954,4.11171381632526,2.2838217819163,4.60768197754711,3.42697761433899,5.32798826249344,3.0627952366978,4.71049802545097,3.88758809745348,4.6641900717159,5.01824052863664,5.34536268093076,3.08944807443909,3.56516761921444,2.83391792235831,5.72250788316823,4.34789298738548,4.21894718928057,6.32047091412254,4.51606834811054,3.89619913633619,3.84502328584455,6.24872015969934,0.16624417282654,3.47364989236001,3.25011909256243,4.79006888800419,5.16707732183461,3.17338043362773
"gene 21",5.26341346727692,5.9493638306154,5.08620760187877,4.33181730765405,4.57001410210287,3.70251986603036,3.55187140402524,4.02509321748397,5.82716245636502,4.56186235903615,3.44378326818217,5.30421035377858,4.76734192844413,5.07048407414939,5.82731952967981,5.14132381832868,4.91249640958734,5.59416629296191,6.23860077668747,3.39961530555117,5.45529563182332,4.41458187535492,5.71416017373562,6.45337257937413,5.21601540383908,4.35925924942082,5.3618313044333,2.92128077989551,3.20190698417293,6.088304268964
"gene 22",5.20957069340646,3.36884845826509,5.5328621831029,4.15710784906665,5.26985312124277,6.68813499469216,6.73855041049046,4.69600123772527,5.02321204899671,7.13376808230713,4.23823644866432,5.12061629952196,5.97651288460904,4.34225646635354,5.10055845045733,3.48024928583937,3.98967319811722,4.62837666869381,8.80245990491232,5.18467632679566,3.0750842241819,4.74810843898595,4.11090005362469,5.52525624716458,5.14479075460136,4.21704543387298,3.31249329584592,3.89982404791724,4.29430386320428,4.14232314409781
"gene 23",7.8226450038556,5.51053599630815,3.83524829977268,4.05796063836886,6.4008771342023,7.28213987928583,7.16547938885422,5.10795292814372,4.36525837091492,5.66586234190879,6.02889480781177,4.52096629116067,7.57643764433551,4.38520351020425,7.16348089076642,4.49390116724901,8.61145096906644,4.20997966957175,6.09914672424468,8.40954530287064,6.0713874276461,5.82018223431316,6.6095309270258,5.5470355571392,4.29751716351096,5.66786070896554,5.37298770645833,4.5687893962615,4.27779177269436,3.45725886516706
"gene 24",5.30435590652861,2.65556810384442,4.97793142273017,4.28922501102157,5.87183163695663,7.61379171243351,6.5458398507167,3.76123326761344,5.42416877684125,5.46873968579318,2.89558674540042,5.20704394292205,7.45685855862189,2.58861887640738,5.27156280527841,4.4459912973298,6.69581408715337,3.21340060789286,7.92250047845077,6.71564214449805,4.28953854681613,3.63582223597093,7.49847082217756,8.14899221186865,3.31367338985934,4.98089676679742,4.2193675369689,4.61806867140537,6.63182598528552,3.69699227161364
"gene 25",4.15010485737806,6.10522251072266,4.00147354752839,3.83159721663954,5.26716330171184,5.26149747231885,4.55591079278971,7.12201038940447,5.38262599532357,4.04134023589621,2.96981104428865,5.54460259654891,5.36827819568627,4.67676343059227,4.17492737079628,4.99129345273496,3.31058292028694,4.49382404877066,5.64999905389327,5.71497279937658,3.79441213281629,4.05315511358439,3.92063223090499,5.36353007203704,4.06937724813244,4.16825064508161,4.75718739863455,2.43394457212602,6.06654567363307,5.42611186953931
"gene 26",6.11578713723364,5.85893411278165,5.217689739607,6.44773996394476,6.86519746321276,5.96657647846782,5.81055257288921,3.83790471148381,3.60285598910513,4.8161792795763,6.40586372178123,6.58549352256911,6.08839398679995,4.89900859503526,6.04127359678333,5.88205962263448,5.30256058453151,5.07361221690412,6.33896182839981,5.56487653747865,4.70636256418282,3.66643644036443,6.36718242640061,6.67199275516956,2.78840791956811,6.16288928935852,4.87630452884967,4.73449448001795,5.93371376369632,5.10911395918316
"gene 27",7.26761341010563,6.0103713890534,5.2869321513695,2.90331937722476,5.62492132645785,4.8099817223186,4.90808204128485,3.85626044040065,4.32469726135259,7.57369100388424,5.86915527035639,6.00945540775862,6.37284240080376,6.59717067274911,5.54269512727619,4.70701376469457,8.7405943564746,6.52527712970655,7.65996459360363,6.58769056877621,2.85968926812826,6.42886964389847,6.73779492564601,8.8848673839405,7.85206776997786,4.47266046618084,2.37404668405168,5.06982756233613,6.93720799882563,5.47696741807468
"gene 28",6.81193855829075,3.28646823334898,5.92484915570753,2.32114322384377,4.16045352580183,6.54794285780384,5.54804166207338,5.57678656517347,4.05827206683699,5.30810265278302,6.94108573059894,7.29189910306188,6.24594938047488,3.09412165414358,6.4944726279542,2.13983505195022,8.49588225983513,3.6780877611015,5.15258018494634,5.73331553688106,3.29618577372491,3.6664874894214,3.99883462709185,7.27933879660514,4.66012884452716,3.8075879082368,4.28622693426428,5.32523136253733,5.01096864559011,3.83579183013393
"gene 29",6.96907775519146,4.67335482106713,3.68554176623667,4.83417450343383,5.46855283571001,3.88393572933112,6.16151153212182,3.58508246235474,7.25060214098404,6.44157770703318,3.45277113181205,4.10390129815548,6.88751157831549,3.72889666197387,4.88905798049912,3.55856445992855,7.08167347927358,2.95453134933585,6.30253422048208,7.62628272076828,3.88418452180735,4.02727282841732,3.12044358018274,6.56369337564616,4.47857092116773,6.37562290067124,3.89803322163181,4.47085607423427,5.62348663918909,4.9343719027872
"gene 30",3.27526948215226,3.72613769858747,5.03567494976346,4.19805620171064,6.190745953676,3.59118482563053,3.94931297368828,3.95966124247149,3.34029548493635,3.85717753923419,3.62027802542223,5.28279786231517,5.74260904305098,4.7008527646228,4.18096630192777,4.20274384060755,6.01743444064122,4.23657240263753,3.9073619531631,4.31910951158847,5.21105844062305,3.72442469838897,5.27838648241781,4.71583569941961,5.92257365812058,5.68294080135062,3.50427310937754,4.07588551537769,5.58261573087477,3.60036803108588
"gene 31",6.33592628315999,3.98808362946227,2.55875289492646,1.93552620588626,7.01021071049112,5.36267624354685,4.49633951645609,2.64712424215474,3.01318653651983,5.23649957969656,4.50989042562175,2.22400701191438,5.50852373391402,3.81300686366378,5.7923549308088,2.37449791987921,5.68039924115938,3.91136625010686,5.54677745315903,4.8811319536998,3.95685026447944,3.50712217497714,4.79613032577018,5.94404153015931,2.46746042177119,4.73863620635407,4.53043119468251,2.64974929751175,3.69496519516461,0.663080222303785
"gene 32",2.81182931471885,2.10351012609556,4.93560357011602,2.56306907331948,3.10500728510891,5.62446657750316,7.04457824318585,3.08413453427478,4.33660560684746,4.53206572699269,4.1974860304989,3.03931416921095,4.26045314638173,2.03929619980952,6.45718132712513,2.4862877021005,4.50331152535906,4.1055361406056,4.65423747846505,5.66400119316938,1.8758031946053,3.9783033311826,4.3176391984888,4.8296777490049,2.9935150821768,3.1215314203365,2.3531213686719,4.48031067633127,3.31377019811471,3.22794614432474
"gene 33",5.28573988721698,2.81703337926044,3.46431738207124,5.15188673945604,4.21468106184452,3.98442651975775,3.70294302656723,5.23371595316403,1.31350284784251,6.27408260867161,4.8083667473567,3.85357468878107,3.47558221603389,4.2028469438233,3.49957470500713,2.52616048320214,4.51759301649017,3.45407192180954,4.34464062452243,4.48772182753267,4.66596052530996,4.94618620134233,4.18095605779033,4.14572370049478,2.99358599711689,4.18509108569324,4.15584038332467,3.45904831548099,5.30076671981363,3.2860524762773
"gene 34",4.92330204446622,5.93264343049441,4.90663213883521,3.23182758851493,5.18197689842982,7.00183985176582,8.3109331017472,6.32262422236144,5.04149656857972,3.1306834244198,5.33976391549044,4.28766576695573,7.47707769220824,5.2661387888702,4.97071470677171,3.72688862895498,4.58122027683881,4.26250738006703,7.64012765836665,7.98129453776772,4.52785949155005,3.31260322833042,5.4302388832232,5.36600584973164,1.99729651777825,6.30379228391241,5.45261466863841,4.71089542195808,5.41160187423077,5.10186239082586
"gene 35",5.31467633746966,4.24712802457132,3.0513501179713,5.66205787567851,3.82379012991554,4.78802240202764,2.57940501130925,6.03088528105651,5.19932503758276,3.56648607875132,4.35883978437734,6.69676610722497,6.66041895095539,5.23707135704359,4.35800174670619,3.33933163346722,3.3417903726252,3.34310908169351,5.0554873530127,4.25121290502791,6.04347427768073,3.50560973794017,4.58010530488281,6.10088162581573,5.27785336347527,6.64883871797748,7.0177463733581,6.06538489213674,6.00108506203761,5.05487475847455
"gene 36",4.77733716517421,4.88533523430238,1.85792841327761,3.37510081889251,6.99770433222065,4.54691909036319,6.40243375691301,4.89168954110684,3.55703111342984,4.83825572749364,3.94049256395567,3.62311550019405,5.67514030824315,2.85895221978313,4.91863307640849,4.26258163725677,4.39230798470445,2.83518984285944,6.21644133340378,5.38809880585203,3.44348727886548,2.50844013318299,7.79968001984569,5.83441492858426,2.53385854421181,4.94420859347348,3.07399322757319,3.61806203600356,5.22410598136159,3.73931885639177
"gene 37",4.29158388445186,3.19098070931556,4.14331418706442,3.40487747565418,3.6123252267842,5.63708972572664,4.41432198669115,1.93732352104896,2.08530436829493,5.33489216630906,4.80813529832225,4.83288043687128,4.01954309836407,4.61045068833587,5.53741188646577,3.67506756725274,4.22768238006425,2.27386721175425,3.04429215083894,5.79840011862839,1.55298978605611,4.68502714293933,2.49396351869902,5.64391238160576,3.295234832371,3.72851708749088,2.42002961023943,4.40312320348051,3.44286874066786,1.72797023341598
"gene 38",3.59807441165613,5.77401070433524,6.1812359950625,6.13342149649874,4.77602958657402,5.60181251962139,7.13536655929742,5.40259992312764,3.66224775385967,6.01731045886852,4.67963355718502,7.03160815133511,6.1887665481008,5.38716936058242,6.62985523571431,6.3836244389489,8.00627030927005,7.19317758592051,5.71710690888188,4.3429494793434,5.19653973044134,5.88450231501522,7.45521259912228,7.46793887969797,5.87035185090328,5.80656779483333,5.79948876899062,5.61641404765678,7.56475288190479,7.09254444048631
"gene 39",5.11680294124476,4.77714894363173,3.30084016086654,5.3259418332811,4.23458078991847,6.6126765317624,6.77958419978887,3.71317618385228,5.34043311375636,6.4072474330755,4.69465203744381,5.186789569324,6.72575858901992,4.35448631392272,4.91027653101471,3.00207778582587,4.06084359900861,3.34434378463036,4.95610069142563,4.97182407373964,4.71328583285513,2.58212901987243,3.85289929982774,4.36909459653052,5.18175042143599,3.24058552663865,4.88496432433058,3.00631087107795,5.37140727289402,4.81674495559395
"gene 40",4.91699134802961,3.65497911131577,3.75402569254303,3.89872095366444,4.92493611762323,5.25810529624079,6.81969904010065,2.71501362604903,2.46921900823429,2.72686552066845,4.59195005365627,3.15961481648235,3.91410964071781,2.6941987292773,5.8136773480718,3.89749382887896,4.195226771508,2.91488895755913,4.00993484168395,3.78849322761368,3.95954479768523,6.31858172627851,4.66789824044123,3.80490729905318,2.18433278921581,4.27141736723037,3.66818664482582,3.55218474850285,4.7115218337515,3.58107686906079
"gene 41",2.80686681127067,5.19944514812367,3.58662024339998,2.76559566582208,4.59216525407248,5.27378980837073,4.16179326355227,5.04715419374445,3.84814951909386,2.3323333110676,3.57967471847057,4.06069069349551,4.77329552536568,3.92922129682074,2.5212982109939,4.46527405164428,3.61282579177157,4.88081185593807,4.62177967115521,5.63869239005751,2.79214236036198,2.83091346853638,3.91139476901681,2.34490140344316,3.58060361262966,3.84916829093821,4.46323774947488,3.05689178231786,3.75834256152891,6.45232704086823
"gene 42",6.83915034449412,3.8507089404337,5.80683847456056,6.53561040955957,5.32576125284408,6.92180089134963,7.08421665782774,5.07765281379944,5.23191374057627,4.17920484017925,4.89392252653148,4.44277166057248,7.84892209763272,4.79536627176466,6.03033268242407,6.55314171557757,6.75569980694064,5.97023246288742,6.6684161669624,8.27130341828037,5.7564711557342,4.04972122909822,6.52132425682794,5.0574223541622,5.23320667730471,8.07940854281335,4.33316588436398,5.22628888527524,4.18090527495505,5.12913246659851
"gene 43",4.56163675299995,4.32493758699963,4.40016043393731,5.92276033332152,7.8683141952218,6.50440480359691,7.51164208605319,4.94229443684935,5.59617918834148,5.35705737601537,5.35552100201047,4.82911061868515,8.35737094880464,3.42238360242399,5.06403812455713,5.16756264989551,6.71887877635587,5.85258545043743,7.71425923128252,5.09282954567151,5.16826211705259,4.27195917997443,6.43407751969516,5.76392215201966,4.30377187209899,6.4920823515521,4.69799423296442,6.00746951453517,6.31036735848569,5.97218785312389
"gene 44",7.06515747626791,3.03619274069425,3.3911955641284,2.57529993549377,5.74194181277963,5.54413831620663,4.98869238449923,1.79422469449052,1.08382302221039,5.85727597761149,3.94610257737892,5.43126117753211,5.36379149558558,2.45119734230098,5.51169664071428,3.31646958076943,4.57353356054669,1.23404249376741,7.41912234480498,7.47592314170886,2.8398586513818,5.59345156356598,3.14022789146863,6.07884480993281,4.00157904330389,4.8778555112509,3.64562547716576,3.34702352395526,4.53069773110093,3.67019178167752
"gene 45",7.76189092174388,2.90581496654648,4.1991033740109,2.25535369206834,4.76535138205039,6.59262321867875,4.73733345695477,2.81519660178146,4.11226878362031,5.92735011739384,4.7495954280399,5.75282224983216,6.80808934904526,2.40554485593154,6.61571104569285,3.75309139156838,5.96251040993255,4.21228611783166,5.4890721460923,5.60424074012477,3.19010535648483,5.88605284280658,4.14707159120972,6.49020429702146,4.4776941979836,3.78378602690781,2.40312046156199,4.43958106372351,3.68444369374752,2.18724682316671
"gene 46",4.81253485562947,6.42113169627213,7.61049487506822,6.01496822032372,5.58198651364137,7.98792461205738,3.94540539255732,6.08995574045254,3.17652347001193,7.22173277290453,7.03938722621093,5.04712884313467,6.46848960621248,5.34698716418466,4.89425058077252,5.83887668805224,5.60057104026346,6.10270517645907,5.72481617170325,6.68150230503514,4.32162653673913,4.93322164046273,6.5913353818382,6.024554642054,6.70239080597271,7.11419067021082,5.36950698250638,5.18255981924949,6.28716065074481,4.12822246029899
"gene 47",4.31581737377976,4.89185805534112,3.66005411297706,4.09958496107608,5.48770457716908,5.86655194068212,6.30876467555169,4.00313818264429,4.21009724958112,4.68182897042351,5.62710156559039,5.98103317714193,4.58311260796009,3.19573361536259,3.09397939702455,3.80320539650899,4.71489403823657,4.11857332633768,4.54981652762267,5.55990816395285,3.62903047161977,5.02574694330662,4.61984185020515,6.423450864202,5.68458263099726,2.77960831964369,3.5026531842352,5.61088236836066,3.44375702449294,6.69933929003985
"gene 48",4.40960518377706,5.99568059501549,4.91360833447422,5.14910497287889,4.7744028135021,6.43327520133543,6.68153349811382,6.47051731880767,5.49723941213661,5.85004980430386,5.11972228209072,5.68050831529093,4.67967321224904,5.92184170063874,5.92419074280557,4.57099161169196,3.77282977056993,2.28552142807701,5.06670584858733,5.35609518194135,4.4259615637356,4.06532324163378,6.16797925301284,4.47123062431687,6.3364727684907,4.82231910867507,4.02648913217702,6.28255527586934,5.79399346095875,3.40330905795081
"gene 49",5.41315729690725,3.46431775092513,5.94036137136574,6.58039121067697,8.99105494315031,5.75483280519889,6.68826648761261,5.92111228812951,5.25459472716653,4.02781057615373,3.39047085974163,5.22970606711687,6.82488298889434,5.02417488280633,6.55678627385643,5.94114429252835,5.31230324227406,4.12869356085215,7.09616151333692,7.5279173150644,5.34467797092579,5.37417273067576,7.01360278492397,7.00402254213566,5.15335987200994,6.00158402714897,5.64028880613297,4.45078932486276,7.44166124043233,4.43555008598876
"gene 50",3.93892189353696,4.36228659193051,3.32618500053491,5.06361621225759,4.48551345174898,6.16307761861248,4.90226316354547,4.92903606203216,4.731536746439,3.93902136983961,3.27204725953832,4.11286490405975,7.09753191474559,3.63944703017317,4.82884565553559,4.18185556108176,7.27956167202297,3.57913927753186,7.54978283801645,6.09017413003577,5.84671507549402,4.16022271578747,4.65822657115978,5.21434576182539,4.14485259869652,4.3212194408158,3.69366045875103,3.09266475859741,4.7642602301604,3.96904507599581
"gene 51",3.6287330919223,7.20837986336442,4.62556429291873,4.71666423647971,6.0179606194724,6.21303527224628,4.39536544661813,6.18243349221121,6.67583093531043,5.7245841233895,5.4124593776104,5.83113758245851,4.6088201545034,5.1833391740033,5.51233454532465,8.21052082954552,5.55223137849434,4.49356410067583,5.10784674835295,5.32355102749986,6.47457244577517,5.82214913309144,6.44896648447441,6.1814873766605,5.42350693296865,5.1320160545183,5.11530213541139,7.18827433362036,6.32150772647027,5.89079436402778
"gene 52",2.76207635974949,4.18444880170025,3.15438353023151,3.45748064744016,3.43758442806831,3.76288406798405,3.84691789809074,2.90573415119362,3.39683923132732,3.1443591095034,5.13905258255909,5.95849556229068,5.12187868122523,3.50493132509218,4.5411034027306,1.09758228039959,3.75267667907804,6.20560186346373,5.59928439215859,5.61476893417293,4.40407114611894,5.4552498024844,4.10854659110898,3.35176300625412,4.0917332616851,4.83340151970366,4.9858688771688,3.80295385527068,3.39381052789984,4.27795911055193
"gene 53",5.96287977648035,4.57107179651565,4.83034851003317,4.3772599400115,6.38001385049567,9.12408096103118,6.23524959413161,4.76090713521385,3.82760631222117,6.13648158785589,4.45292446438295,6.22371348884485,8.21188320141397,5.87242205082634,6.04757572753316,5.29116302663894,5.86028938919302,3.64553673372197,5.28669406769973,6.1615513807125,5.07483703059371,4.55810048469545,5.20742932394966,5.08512247706532,5.40916047445911,5.27482931565603,6.60123800830604,6.61309764365388,5.44058929203024,4.50348105858673
"gene 54",6.56761301106769,5.26571360330277,4.26252034228767,3.00516412954511,6.02010109569645,6.05229606202711,6.58923491937818,4.72997104144467,3.61472145875143,5.56064558702669,5.80902041010599,4.82634038825274,5.51085658532208,3.82433092646267,5.76440783121969,5.97240994712422,6.83548200696609,2.36018323681208,7.58803438736198,6.12817699664974,4.99126323661796,3.68535400862547,6.66829786868381,5.97472114497492,4.89834205067395,5.96968529613287,6.7868051143863,5.51909428771752,5.37320277140634,4.9627006054598
"gene 55",7.35401072764674,3.44884417451919,3.73083496676113,4.92004704797454,6.0600131091688,5.85187797816462,8.63373008852395,5.44033948831459,4.41006403418987,5.38189905603732,4.81024407678469,5.93694991416262,8.15343700920345,4.76100631611883,3.6775511833852,1.49412042390203,6.29921333943217,5.4569649651004,8.62571290937039,8.03870163704558,3.53060176450771,4.38174216742976,6.3725361274688,7.00609820885611,4.00491673507107,8.25632229020325,4.05279355633091,3.84262806713866,6.21335682308894,5.1143287827323
